Tier,Aanbieder,Moeder / groep,Categorie,Indicatie schaal,Fit,In pipeline,ACV laag (EUR/jr),ACV hoog (EUR/jr),Midpunt (EUR/jr),Toelichting
1,Salta Group (koepeldeal),Salta Group,Koepel private opleiders,"circa 250 mln omzet, 20+ merken",Hoog,Nee,150000,400000,275000,"Grootste private opleider Benelux. Een koepeldeal raakt NCOI, LOI, NTI, Schoevers, ISBW, Tio en meer in een klap."
1,Open Universiteit,"Zelfstandig (publiek, afstand)",Afstandsuniversiteit WO,circa 15.000 tot 26.000 studenten,Hoog,Nee,75000,150000,112500,"Hoogste essay- en scriptievolume op afstand. Publieke inkoop is zwaarder (aanbesteding, DPIA), dus langere cyclus."
1,NCOI Opleidingen,Salta Group,Private HBO/MBO opleider,circa 20.000 studenten/jr,Hoog,Nee,50000,100000,75000,"Grootste merk binnen Salta, praktijkopdrachten op volume, commerciele besluitvorming."
1,LOI,Salta Group,Afstandsonderwijs HBO/MBO,circa 12.000 studenten,Hoog,Nee,40000,90000,65000,"Klassiek afstandsonderwijs, nakijkvolume is kern van het model."
1,NTI,Salta Group,Afstandsonderwijs,grote thuisstudie-aanbieder,Hoog,Nee,30000,70000,50000,"Breed thuisstudie-aanbod, deel hobby/kort maar substantieel opdrachtvolume."
2,Nyenrode Business Universiteit,Zelfstandig,Private universiteit (business),enige private universiteit NL,Hoog,Nee,40000,90000,65000,"Accountancy en controlling, overlap met financiele certificering. Directie beslist, geen aanbesteding."
2,TIAS School for Business and Society,Tilburg Univ / TU Eindhoven,Business school (exec ed),"exec en master, betalende deelnemers",Hoog,Nee,25000,60000,42500,"Executive education, ROI-gedreven, korte lijnen."
2,NHA,Zelfstandig,Afstandsonderwijs,"500 tot 700 cursussen, 2 mln alumni",Middel,Nee,25000,60000,42500,"Zeer groot, maar veel hobby- en VO-cursussen met beperkte essaybeoordeling."
2,ICM Opleidingen en Trainingen,Zelfstandig,Private opleider/trainer,Beste Opleider van NL (publieksprijs),Hoog,Ja,25000,55000,40000,Al als serieuze lead in de pipeline. Founder/directie beslist direct.
2,Capabel Onderwijs,Zelfstandig,Private MBO/volwassenen,landelijke vestigingen,Hoog,Ja,25000,55000,40000,Al als lead toegevoegd. Volwassenenonderwijs met opdrachtvolume.
2,Tio Business School,Salta Group,Private HBO/MBO (business/hospitality),"circa 2.000 studenten, 6 locaties",Hoog,Nee,25000,50000,37500,"Erkend hbo en mbo, kleinschalig en persoonlijk, past goed op formatieve feedback."
2,Wittenborg University of Applied Sciences,Zelfstandig,"Private HBO (business, Engels)","circa 1.100 studenten, 110 nationaliteiten",Hoog,Nee,20000,45000,32500,"Engelstalig, internationaal, aangewezen instelling. Datasoevereiniteit is hier een opener."
2,Avans+,Avans (private arm),Executive/post-HBO,exec en maatwerk,Middel,Nee,20000,45000,32500,"Commerciele tak van Avans, betalende deelnemers."
2,Business School Netherlands,Zelfstandig,MBA (action learning),MBA-programma's,Hoog,Nee,15000,40000,27500,Action-learning MBA met veel geschreven assignments tegen een standaard.
2,Markus Verbeek Praehep,Salta Group,Finance/accountancy opleider,beroepsopleidingen finance,Hoog,Nee,20000,45000,32500,"Overlap met financiele certificering, open examenantwoorden."
2,NIBE-SVV,Salta Group,Bank/verzekering examens,beroepsexamens finance,Hoog,Nee,20000,45000,32500,"Examenvolume met open onderdelen."
2,Schoevers,Salta Group,Management/office opleider,"ruim 100 jaar, erkend MBO/HBO",Middel,Nee,15000,35000,25000,"Praktijkopdrachten, mixed opdrachtvormen."
2,ISBW Opleidingen,Salta Group,Management opleider,management/middle management,Middel,Nee,15000,35000,25000,Managementopleidingen met opdrachten.
2,Scheidegger,Salta Group,HBO-programma's kort,eenjarige hbo-programma's,Middel,Nee,15000,35000,25000,"Korte programma's, opdrachtvolume aanwezig."
3,Business School Notenboom,Zelfstandig,Private HBO business school,"kleinschalig, Eindhoven/Maastricht",Hoog,Nee,8000,25000,16500,"Bewust kleinschalig, veel persoonlijke aandacht, snelle beslisser."
