org_id,markt,naam,naam_aliassen,moeder_org_id,categorie,domein,beoordeelt_zelf,bewijs_citaat,bewijs_url,particulier,bron_particulier,omvang_medewerkers,lerenden_per_jaar,lerenden_diploma,lerenden_diploma_bron,aantal_opleidingen,cursusprijs,omzet_indicatie,geschatte_jaarwaarde,omvang_niveau,omvang_citaat,omvang_url,icp_status,blokkade_reden,close_lead_id,close_gecheckt_op,contact_zoekpoging,notities,laatst_bijgewerkt,bijgewerkt_door
org_3masters-opleidingen,nl,3Masters Opleidingen,,org_zelfstandig,Financieel/trust-sector vakopleider (CRKBO 2026-08-05),3masters.nl,Ja,"BOTO 1-pagina: ""Exam via MS Teams, Surveillant from 3Masters Opleidingen"", ""Results within 3 working days""; MOTO-eindtoets is een ""layered case study & presentation"" die 3Masters zelf beoordeelt. Langlopend (BOTO ca. 2 mnd, MOTO 56 PE-punten). —",https://www.3masters.nl/opleiding/boto-1/,Ja,CRKBO-geregistreerd,circa 3 medewerkers,,,,,,,,,,,afgevallen,Afgevallen 2026-08-18 op besluit van Dante: circa drie medewerkers en overwegend korte trajecten. Valt daarmee ook onder de nieuwe poort 0b (minstens een opleiding langer dan een jaar).,,,,KLEIN. Dante 2026-08-14: 'ze zijn maar met z'n drieen en de studies die ze aanbieden zijn vaak heel kort.' Valt af op omvang en op de nieuwe duur-eis.,2026-08-18,lead-sourcing-nl
org_academedia,nl,AcadeMedia,AcadeMedia AB|Academedia,,"Internationale onderwijsgroep (Zweeds, beursgenoteerd)",,Onbekend,,,Onbekend,,,,,,,,,,,,,kandidaat,,,,,Moeder van twee NL-merken: Winford (sinds 1 augustus 2023) en IVA Business School / IVA Driebergen (overname afgerond 15 april 2026). Bron: winford.nl/nieuws/academedia-moederbedrijf-van-winford-breidt-in-nederland-uit-met-iva-business-school en iva.nl/updates/iva-nu-onderdeel-van-academedia. Bij benadering rekening houden met inkoop op groepsniveau.,2026-09-02,lead-sourcing-nl
org_academica-group,nl,Academica Group,,,,,Onbekend,,,Onbekend,,,,,,,,,,,,,kandidaat,,,,,"afgeleid uit de kolom Moeder / groep, niet zelf gekwalificeerd",2026-08-14,migratie
org_academica-university-of-applied-sciences,nl,Academica University of Applied Sciences,,org_academica-group,"Privaat hbo, bachelor en master voor werkende professionals (o.a. leraren), deeltijd",publicaties.nvao.net,Ja,"NVAO-adviesrapport M Excellent Teaching: ""De thesis wordt door twee examinatoren beoordeeld aan de hand van een rubric."" —",https://publicaties.nvao.net/prd/AV-2633_20250310_Rapport_Adviesrapport%20M%20Excellent%20Teaching%20Academica%20AV-2633.pdf,Onbekend,"Privaat hbo volgens NVAO-rapport, bekostigingsstatus nog te bevestigen",,,,,4,,,,afgeleid,"DUO RIO ho-onderwijslicenties, peildatum 2026-09-02: 4 actieve, van elkaar verschillende erkende opleidingen op naam van Academica University of Applied Sciences (bekostigingscode RECHTSPERSOON_HO, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/a20cef1d-173d-403c-86c0-91f22f45877b/download/ho_onderwijslicenties.csv,gekwalificeerd,,,,,moeder-tekst: Academica Group,2026-09-02,lead-sourcing-nl
org_academie-artemis,nl,Academie Artemis,,org_zelfstandig,"Particulier hbo kunstvakonderwijs (Allround Styling, Creative Concept Developer), voltijd, Amsterdam",publicaties.nvao.net,Ja,"NVAO-beoordelingsrapport Allround Styling: ""Ieder onderzoek wordt door de begeleider en een tegenlezer gelezen en summatief beoordeeld."" —",https://publicaties.nvao.net/prd/AV-1034_20230217_Rapport_Beoordelingsrapport%20Artemis%20Allround%20Styling%20v2.0.pdf,Ja,Particuliere niet-bekostigde hogeschool volgens NVAO-rapport (zelfde bron),,,,,1,,,,afgeleid,"DUO RIO ho-onderwijslicenties, peildatum 2026-09-02: 1 actieve, van elkaar verschillende erkende opleidingen op naam van Artemis Academie (bekostigingscode RECHTSPERSOON_HO, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/a20cef1d-173d-403c-86c0-91f22f45877b/download/ho_onderwijslicenties.csv,gekwalificeerd,,,,"agent 2, 2026-08-19: DUBBEL. Zelfde opleider als org_artemis-academie (staat op kandidaat), waar Femke Bex (Hoofd Onderwijs, bevestigd op artemisacademie.nl/team) al als aangewezen op staat. Samenvoegen en de gekwalificeerd-status meenemen.",moeder-tekst: Zelfstandig,2026-09-02,lead-sourcing-nl
org_academie-hypnos,nl,Academie Hypnos,,org_zelfstandig,"Vierjarige hbo-opleiding hypnotherapie, eigen OER en afstudeeropdracht",hypnos.nl,Ja,"Jaar 3 kent ""schriftelijk examen, een praktijkexamen en een afstudeeropdracht op hbo-niveau""; regels staan in het eigen Onderwijs Examen Reglement —",https://hypnos.nl/de-opleiding-praktisch/,Ja,"NRTO-lid, particuliere aanbieder",,42,42,https://hypnos.nl/hoe-scoort-academie-hypnos/,,,,10000,hard,"Eigen site, jaarlijkse evaluatie: ""Maar liefst 41 van de 42 studenten geven aan dat de opleiding voldoet aan hun verwachtingen."" Enige aanbod is de vierjarige opleiding Hypnotherapie, dus 42 = alle vier jaargangen samen, ca. 10-11 instroom per jaar.",https://hypnos.nl/hoe-scoort-academie-hypnos/,gekwalificeerd,,,,,"Poort 0b duur, 2026-08-18: HAALT DE EIS. Grond: gemeten: 48 mnd.",2026-09-02,lead-sourcing-nl
org_academie-voor-geesteswetenschappen,nl,Academie voor Geesteswetenschappen,,org_zelfstandig,"Post-hbo opleidingen zingeving, spiritualiteit en geestelijke verzorging; scriptie beoordeeld door eigen vakdocenten",academiegeesteswetenschappen.nl,Ja,"""De scriptie moet door de scriptiebegeleider op alle bovengenoemde onderdelen met een voldoende worden beoordeeld."" en ""Het vervaardigen van de scriptie vindt plaatst onder de verantwoordelijkheid van een vakdocent, die de begeleider is."" — Scriptiehandleiding AvG,  ; meerjarige deeltijdopleidingen op post-hbo-niveau (o.a. Geestelijk Begeleider) met verplichte stage en scriptie",https://academiegeesteswetenschappen.nl/wp-content/uploads/2026-01-13_AvG_Scriptiehandleiding.pdf,Ja,"Particuliere stichting, niet bekostigd (DUO ho_erkenningen_rio: NIET_BEKOSTIGD)",,,,,,,,,,,,afgevallen,Afgevallen 2026-08-18 op besluit van Dante: maatwerkstudie met een doelgroep die niet bij de ICP past.,,,,moeder-tekst: Zelfstandig,2026-08-18,lead-sourcing-nl
org_actuarieel-instituut,nl,Actuarieel Instituut,,org_stichting-actuarieel-instituut,"Postacademisch actuarieel vakonderwijs (EMAS/AM&RM/ANN), deeltijd, voor financiele/verzekerings- en pensioenprofessionals",actuarieelinstituut.nl,Ja,"OER 2025-2026 art. 15 lid 1: ""Het AI is verantwoordelijk voor de organisatie, coordinatie en beoordeling van de tentamens."" —  | Aanvullend: ""Master's thesis is mandatory"" — https://www.actuarieelinstituut.nl/opleidingsaanbod/executive-master-of-actuarial-science | NVAO EMAS-rapport: ""Beide examinatoren vullen onafhankelijk van elkaar het beoordelingsformulier in en komen uiteindelijk tot een gemiddeld cijfer."" — https://publicaties.nvao.net/prd/AV-2582_20240712_Rapport_RAPPORT%20EMAS%20-%20Actuarieel%20Instituut%20-%20DEF2.pdf",https://www.actuarieelinstituut.nl/download-bewerken/onderwijs-en-examenregeling-2025-2026,Ja,"Stichting, deeltijd beroepsopleidingen, EMAS kost EUR 30.450, geen bekostigde universiteit — https://www.actuarieelinstituut.nl/over-het-actuarieel-instituut",,,,,1,,,,afgeleid,"DUO RIO ho-onderwijslicenties, peildatum 2026-09-02: 1 actieve, van elkaar verschillende erkende opleidingen op naam van Actuarieel Instituut (bekostigingscode RECHTSPERSOON_HO, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/a20cef1d-173d-403c-86c0-91f22f45877b/download/ho_onderwijslicenties.csv,afgevallen,Afgevallen 2026-08-18 op besluit van Dante: te klein voor de ICP.,,,,moeder-tekst: Stichting Actuarieel Instituut,2026-09-02,lead-sourcing-nl
org_amsterdam-school-of-real-estate,nl,Amsterdam School of Real Estate,Amsterdam School of Real Estate (ASRE),org_nog-te-checken,"Postinitieel wetenschappelijk vastgoedonderwijs (wo-master MRE/MSRE), deeltijd",asre.nl,Ja,"OER 2025-2026 art. 5 lid 2: ""Het resultaat van elke toets (...) wordt beoordeeld door de examinator. De examinatoren zijn bevoegd een beoordeling te geven."" —",https://asre.nl/wp-content/uploads/2025/09/OER-2025-2026.pdf,Onbekend,Nog te checken,,,,,2,,,,onbekend,"DUO RIO ho-onderwijslicenties, peildatum 2026-09-02: 2 actieve, van elkaar verschillende erkende opleidingen op naam van Amsterdam School of Real Estate (bekostigingscode RECHTSPERSOON_HO, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/a20cef1d-173d-403c-86c0-91f22f45877b/download/ho_onderwijslicenties.csv,gekwalificeerd,,,,,"Omvang gezocht 2026-09-02. Geen jaarcijfer publiek. Wel gevonden, maar CUMULATIEF en dus niet bruikbaar als jaargetal: 5.766 vastgoedprofessionals hebben ooit een ASRE-opleiding afgerond, en de alumnitellers noemen 787 MRE/MSRE-alumni en 7.238 ASRE-alumni totaal. Over 35 jaar is dat grofweg 165 diploma's per jaar, maar ASRE draait daarnaast veel korte cursussen van drie weken, waarvan het volume onbekend is. Niet omrekenen naar een jaarcijfer zonder betere bron.",2026-09-02,lead-sourcing-nl
org_an-i,nl,AN-i,,org_zelfstandig,"Arbeidsrecht-opleider met eigen modules, examen en diploma",an-i.nl,Ja,"""Indien je een schriftelijke module of examen niet mocht halen, dan krijg je twee mogelijkheden tot herkansing""; opzet is 8 modules plus examen en diploma —",https://www.an-i.nl/opleiding-arbeidsrecht/,Ja,"NRTO-lid, particuliere aanbieder",,,,,,,,,,,,gekwalificeerd,,,,"NIET GEVONDEN: NIET GEVONDEN: 7 medewerkers (Artec Neval, achter arbeidsrechter.nl), geen profielen aan het domein. Kleine club, waarschijnlijk een eigenaar die niet op LinkedIn zit.; GEEN CONTACT: Arbeidsrechtkantoor met opleidingstak; an-i.nl noemt geen namen. Oprichter/eigenaar (arbeidsrechtadvocaat) via KvK nog te achterhalen.",moeder-tekst: Zelfstandig,2026-08-14,migratie
